1571829281,3,2,1,"C2,CK,CA,CQ;DA,D6,DJ,DK;D9,D4,D10,DQ;D2,SQ,D8,D7;HJ,H9,D3,D5;C9,CJ,C8,C3;H3,C10,C5,HA;H2,C7,HK,HQ;S8,C6,H8,H10;S6,C4,H7,H4;S5,SK,SJ,SA;S4,S10,H6,S7;S3,S9,H5,S2"
1571829281,3,2,1,"CQ,C2,C6,CA;DJ,DQ,DA,D7;D5,D10,DK,H9;D4,D8,D9,H7;D3,D2,D6,H4;C7,CK,C3,CJ;HK,C10,SQ,C8;HJ,C9,HA,H3;H10,C5,H5,SA;H8,C4,H2,SK;S6,S7,S8,SJ;S2,S3,S5,S10;H6,HQ,S4,S9"
1571829281,3,2,1,"CA,C2,C9,CQ;DJ,DK,DQ,DA;D7,D10,SQ,D8;D4,D9,HA,HQ;D2,D6,HK,H7;H5,D5,H10,H6;SA,D3,H9,H3;CK,C4,C6,CJ;C8,HJ,C5,C10;SK,H8,C3,C7;S8,S10,SJ,S9;S7,S4,S5,S6;S3,H4,S2,H2"
1571829281,3,26,1,"CA,C2,C7,CQ;DA,DK,DQ,D10;D8,D9,DJ,D5;D7,D2,D4,HA;D6,HJ,D3,HK;CK,C10,C6,HQ;CJ,H10,C4,H3;C9,H5,SQ,H2;C8,H4,H8,SA;C5,SK,H7,SJ;C3,S10,H6,S7;S9,S6,S8,S5;H9,S3,S4,S2"
1571829281,3,3,1,"CQ,C2,CA,C10;D5,D9,DQ,DA;D4,D7,D10,DK;HQ,D6,D2,DJ;H9,D3,HK,D8;CJ,CK,C9,C5;C6,C8,H2,C3;H5,C7,SK,H10;H4,C4,SJ,H7;S9,SQ,S8,S10;SA,HA,S7,H6;S6,HJ,S4,H3;S3,H8,S2,S5"
1571829281,3,0,1,"C2,C9,CA,CQ;DK,DA,D10,D4;DJ,DQ,D8,D3;D9,D7,SQ,HA;D5,D6,HK,HQ;H10,C8,CK,CJ;S10,SK,SA,SJ;S9,S4,S8,S2;D2,H6,HJ,H9;S7,C7,S5,H5;S6,C6,S3,H3;H7,C4,H8,C10;H2,C3,H4,C5"
1571829281,3,5,1,"CJ,C2,CK,C6;DK,D9,DA,DQ;D8,D5,D10,DJ;D6,D4,HK,D7;SQ,D3,HQ,D2;C9,CA,CQ,C5;C8,C10,HJ,C4;HA,C7,H8,H10;H9,C3,H6,H4;S8,S6,S9,SA;S4,S5,S7,SK;S3,H7,H3,SJ;S2,H5,H2,S10"
1571829281,3,4,1,"C8,CK,C2,CA;D9,DK,D10,DA;D7,DQ,SQ,D8;D6,DJ,HK,HQ;D4,D5,H10,H8;C5,CQ,CJ,C9;H4,C4,C10,C7;S9,C3,C6,H6;S6,SJ,S8,SA;S5,S2,S7,SK;S4,HA,H7,S10;D3,HJ,H5,S3;D2,H9,H3,H2"
1571829281,3,0,1,"CK,CJ,C2,CQ;D10,D8,DA,DQ;D9,D7,DK,D5;HJ,D6,DJ,D4;H9,D2,D3,H7;C6,C9,CA,C7;C5,SQ,C10,C3;H8,HA,C8,H5;H2,HK,C4,SJ;SA,HQ,S7,S8;SK,H10,S5,S6;S10,H6,S3,S4;S9,H4,H3,S2"
1571829281,3,16,1,"CQ,CK,CA,C2;D8,DA,DK,DQ;D4,D7,D3,DJ;HK,D6,SQ,D10;H7,D5,HQ,D9;CJ,C8,C10,C6;C9,H10,C4,C3;C7,H5,HJ,HA;C5,H4,H8,H9;SA,SK,S5,SJ;S10,S9,S2,S8;S6,S7,H6,S4;S3,D2,H2,H3"
1571829281,3,4,1,"C8,CQ,C2,CK;DJ,DQ,DA,DK;D10,D9,D5,D7;D6,D8,H9,D4;D2,D3,H5,SQ;C6,C3,CA,C9;C5,HQ,CJ,C7;HA,H7,C10,HK;HJ,H6,C4,H10;SA,S8,S7,SJ;SK,S4,S5,S10;S6,S3,H3,S9;H8,H4,H2,S2"
1571829281,3,19,1,"CA,C2,CQ,DK;DA,D8,D7,DQ;D6,H6,HA,DJ;D4,CJ,H7,D10;D2,S10,H4,D9;SQ,C10,H2,D5;HK,S9,SA,D3;SJ,S8,SK,S3;CK,C4,C9,HQ;C7,C3,C8,H10;HJ,S7,C6,H5;H9,S6,C5,H3;H8,S4,S5,S2"
1571829281,3,0,1,"CQ,C2,CK,CA;D10,DA,D3,DQ;SQ,DK,D2,D8;HJ,DJ,HA,D6;H9,D9,HK,D5;H2,D7,H10,H6;SK,D4,H8,H5;CJ,C10,H7,C9;C8,C5,SA,C7;C6,HQ,S10,S9;C4,H4,S7,S8;C3,H3,S3,S6;SJ,S4,S2,S5"
1571829281,3,0,1,"CK,CQ,C2,C9;DK,DQ,D10,DA;DJ,D7,D8,D5;D9,D6,HA,D3;D4,SQ,H10,D2;C10,C8,CA,C6;HQ,C7,CJ,HJ;H9,C5,C4,H8;SK,SA,S6,S9;SJ,S8,H7,S7;S10,S3,H6,S4;S5,S2,H3,H5;H4,HK,C3,H2"
1571829281,3,0,1,"CA,C2,CK,CJ;D10,DA,D4,DJ;D6,DK,D3,D9;HK,DQ,D2,D5;H9,D8,H10,SQ;H2,D7,H8,HA;CQ,C8,C10,HQ;C6,C7,C9,HJ;SK,S10,S4,SA;SJ,S9,H7,S8;C4,C5,H6,H3;S6,C3,H5,S5;S3,S7,H4,S2"
1571829281,3,0,1,"C10,CK,C2,CA;D9,DK,DA,D10;SQ,DJ,DQ,D7;HJ,D3,D8,D5;H10,H9,D6,D4;C8,CJ,CQ,C9;SJ,SA,S9,S6;C7,C6,HQ,HA;C4,C5,H7,HK;S10,SK,S5,S4;S8,S7,S3,H8;C3,H5,H3,H2;H6,H4,S2,D2"
1571829281,3,0,1,"CK,CA,C2,C10;DA,DK,DQ,D8;DJ,D9,D3,D7;D10,D5,HA,D6;CJ,C3,CQ,HK;C9,H9,C8,HQ;C7,H5,C5,H8;C6,H2,C4,H7;S7,S9,S5,SJ;SQ,D4,HJ,D2;S3,SK,SA,S10;H4,S8,S2,S4;H3,S6,H10,H6"
1571829281,3,0,1,"C2,CA,C10,CQ;D9,DK,DA,HK;D8,D6,DQ,HQ;D7,D4,DJ,HJ;D5,D2,D10,H7;SQ,H8,D3,H6;CK,C7,C9,C4;CJ,C3,C6,H4;C8,SA,C5,H3;SJ,S10,SK,S8;S2,S9,S5,S4;H10,S7,HA,S3;H9,S6,H5,H2"
1571829281,3,3,1,"C2,CA,CK,CQ;D9,D10,DK,DA;D7,D8,DQ,D6;D5,D3,DJ,D2;C10,C4,CJ,C8;S8,S9,SJ,HQ;S3,S7,S10,H10;SK,SQ,S5,H7;D4,HJ,H9,H5;C9,H2,H8,C7;C3,S6,H6,C6;HA,S4,H3,C5;HK,S2,SA,H4"
1571829281,3,6,1,"CJ,C2,CQ,CK;DK,DA,D10,DQ;D9,D5,D8,DJ;D4,D3,D2,D7;HK,H7,HA,D6;HJ,CA,C4,C7;H10,C10,HQ,C6;H9,C9,H8,C5;H5,C8,H4,C3;S6,SJ,S10,S7;S5,S8,S9,S4;SA,SK,S3,SQ;H2,H3,S2,H6"
1571829281,3,0,1,"C7,CA,CK,C2;DA,D10,DJ,DK;DQ,D9,D8,SQ;D6,D5,D7,H8;D4,H7,D3,H4;S7,SK,SA,S10;HQ,H3,D2,C10;HJ,CQ,C5,C8;H10,CJ,HA,C6;H9,C9,HK,C4;H6,C3,H5,S9;S3,SJ,S4,S6;H2,S8,S2,S5"
1571829281,3,0,1,"CK,C10,C2,CA;D10,DA,DK,D5;CJ,C9,CQ,C8;D9,HJ,DQ,D4;D7,H10,DJ,D3;D6,H8,D8,SQ;HQ,H3,D2,HA;C5,C4,C7,C6;S8,SK,S9,SA;S5,SJ,S7,S4;H6,C3,HK,H9;S2,S10,S3,H7;H2,S6,H4,H5"
1571829281,3,0,1,"C2,CA,CQ,D10;D6,DK,DA,D8;D5,DQ,DJ,D3;D4,D7,D9,HJ;C6,CK,CJ,H9;HK,C8,C10,H8;HQ,C7,C9,H5;H10,C3,C5,SK;H4,SQ,C4,SJ;SA,S10,S8,S9;D2,H7,HA,S6;S7,S2,H3,S4;S5,H6,H2,S3"
1571829281,3,1,1,"CK,CQ,C2,CA;DA,DQ,DK,DJ;D8,D4,D6,D10;D7,D3,HQ,D9;D5,HA,H8,D2;C5,C10,C8,CJ;SQ,C9,H3,C7;H9,C6,SA,C4;SJ,S7,SK,S8;S2,S4,S10,S3;H7,H10,S9,HK;H6,H5,S6,HJ;H2,H4,S5,C3"
1571829281,3,15,1,"C2,CJ,CA,C10;DJ,D4,D10,DA;D6,D3,D8,DK;D2,HK,D7,DQ;SQ,HQ,D5,D9;CQ,C7,CK,C8;C9,H7,C6,C4;C5,H2,C3,H10;SK,SA,S4,SJ;S6,S10,HA,S9;S5,S8,H6,S2;HJ,S7,H5,H9;H8,S3,H4,H3"
1571829281,3,0,1,"C2,CA,CK,C8;DQ,DJ,DA,DK;D8,D9,D10,D5;D7,D3,D6,HA;D4,HK,D2,HJ;C9,CQ,CJ,C7;SQ,C10,C4,C5;HQ,C6,H10,C3;SA,S10,SK,S8;SJ,S7,S9,S3;S6,H9,S5,H6;S4,H5,H8,H3;S2,H4,H7,H2"
1571829281,3,4,1,"CA,C5,CK,C2;DK,DQ,D5,DA;D9,D8,D4,DJ;D6,HA,D3,D10;HQ,HK,D2,D7;C10,H10,CQ,C9;C7,H4,CJ,C8;C4,H3,C6,SQ;S7,SJ,S9,SA;H8,S10,S6,SK;H5,S8,S4,S2;H2,S5,H9,HJ;C3,S3,H6,H7"
1571829281,3,0,1,"C2,C3,CK,C10;DQ,DA,DJ,DK;D8,D5,D10,D2;D7,D3,D9,HQ;SQ,HA,D6,H9;H10,HJ,D4,H4;CA,H6,CJ,C9;CQ,H5,C6,C4;C8,H2,C5,H3;C7,S10,HK,SA;SK,S7,S9,SJ;H8,S5,S6,S8;H7,S4,S2,S3"
1571829281,3,4,1,"CA,C5,C2,CQ;DK,D9,DA,DQ;DJ,D8,D7,D5;D10,D6,D4,HK;D3,SQ,H5,HQ;D2,HA,H4,H7;CK,H10,CJ,C8;C10,H8,C3,C7;C9,H3,SK,C6;S7,SJ,S9,SA;HJ,S10,S6,C4;H9,S5,S4,S8;H2,S2,S3,H6"
1571829281,3,0,1,"CK,C2,C6,C5;D8,DK,DQ,DA;D5,D7,DJ,D9;D3,D4,D10,D6;SQ,HQ,D2,H7;SJ,SK,SA,S10;S4,S5,S8,S9;CJ,CA,HA,C4;C10,CQ,HJ,C3;C8,C9,H10,H6;HK,C7,H2,H5;H9,H8,S3,S7;H4,H3,S2,S6"
1571829281,3,9,1,"CQ,C6,C10,C2;DA,DQ,D6,DK;D10,DJ,HA,D9;D2,D7,HQ,D8;H9,D5,HJ,D4;CJ,C3,C7,CA;SJ,HK,H10,D3;C5,H3,C4,CK;S10,H2,H8,C9;S8,SA,H7,C8;S5,S6,H6,S9;S4,S3,H5,S7;S2,SK,H4,SQ"
1571829281,3,12,1,"CK,CJ,C2,CA;DQ,DA,D10,DK;CQ,C10,C9,C4;D9,HQ,D8,DJ;D6,H10,HK,D7;D2,H7,H9,D5;HA,H5,H6,D4;HJ,SK,H2,D3;C7,C8,C6,C3;S8,SJ,S9,S10;SA,S7,S5,SQ;C5,S6,S4,H8;H3,S2,S3,H4"
1571829281,3,0,1,"CA,C2,C10,C4;DK,DA,DJ,D10;DQ,D8,D7,D9;D4,D5,D2,D6;S4,S9,SJ,S5;CK,C8,C9,SQ;CQ,C7,C3,HQ;CJ,C6,HK,H10;C5,HA,HJ,H9;S2,SK,S10,SA;H8,S7,S8,S3;H7,H4,S6,H6;H5,D3,H2,H3"
1571829281,3,10,1,"CA,CK,C2,CJ;D8,DJ,DA,DK;D7,D4,DQ,D10;D6,SQ,D9,D3;D5,HK,D2,HA;CQ,C5,C10,C9;C3,H7,C7,C8;H10,H6,HQ,C6;H8,H5,HJ,C4;S5,SA,SK,S8;S4,SJ,S9,S7;H4,S10,S6,S2;H2,H3,S3,H9"
1571829281,3,3,1,"C10,CK,CQ,C2;DA,DQ,D10,D7;DK,D4,D9,D5;DJ,HA,D8,D3;SJ,S6,S5,S8;S10,SK,S4,SQ;HJ,C8,C9,CA;H10,HK,D6,D2;H9,C7,C6,CJ;S9,H7,S2,SA;S7,H5,HQ,S3;H8,C4,H6,H3;H4,C3,C5,H2"
1571829281,3,19,1,"C2,C10,CK,C3;D8,DA,D6,DK;D4,D7,D5,DQ;D3,D2,H9,DJ;HA,SQ,H7,D10;HK,HJ,H5,D9;S2,SJ,SA,SK;CA,C7,CQ,H10;CJ,C6,H3,H8;C9,C4,S10,H2;C8,H6,S7,S9;C5,H4,S6,S5;HQ,S8,S4,S3"
1571829281,3,0,1,"C2,C8,CA,CK;DJ,DA,DQ,DK;D2,D8,D10,D9;SQ,D7,D6,HK;HJ,D5,D4,HQ;H3,D3,H10,H9;C10,C3,CQ,H7;C9,HA,CJ,H4;C7,H8,C5,SA;C6,H6,H5,S10;C4,S7,H2,S9;SK,S5,SJ,S6;S8,S2,S4,S3"
1571829281,3,0,1,"CA,C8,C2,C6;DA,D10,DQ,DJ;DK,D8,D9,D7;D5,D4,D2,D6;S10,S8,SJ,S5;CK,C7,CQ,HA;D3,SQ,HK,H9;CJ,C5,C4,H8;C10,C3,HQ,H3;C9,H7,HJ,H2;S9,SA,S7,SK;H5,S6,H10,S3;H4,S4,H6,S2"
1571829281,3,0,1,"C2,C10,C9,CA;DQ,D9,DA,DK;D10,D8,DJ,D6;H8,D7,D5,SQ;H4,D4,D3,HK;H2,D2,HA,H6;CK,C6,C7,CQ;CJ,HQ,H9,C5;C8,HJ,H7,C4;C3,H10,SA,H5;SK,S9,S8,S10;SJ,S7,S5,S6;S3,S2,S4,H3"
1571829281,3,19,1,"CJ,C9,CA,C2;DK,D10,DJ,DA;DQ,D4,D6,D9;D8,D3,D2,HJ;D7,H6,HA,H10;D5,H5,HK,H8;C8,C6,CK,CQ;SQ,C5,C7,C10;H9,C3,HQ,C4;SK,S5,S10,SA;S7,S4,S8,SJ;H4,S3,S6,S9;H2,H3,S2,H7"
1571829281,3,0,1,"CA,C4,CJ,C2;DA,DK,DQ,D4;DJ,D10,D9,D3;D8,D2,D5,HQ;D7,HK,SQ,HJ;D6,H10,HA,H9;CK,H4,C10,CQ;C9,H3,C7,H8;C8,H2,C3,SA;C6,SK,H7,S9;C5,S8,H5,S7;S10,S3,SJ,S6;H6,S2,S5,S4"
1571829281,3,13,1,"C2,CA,CJ,CK;D10,D9,DA,DK;D6,D8,D5,DQ;HQ,D3,D2,DJ;H8,H10,HJ,D7;H7,H2,H4,D4;C9,C10,C7,CQ;S5,S10,SJ,S8;C8,C6,C5,SQ;SA,S7,S9,SK;H6,S4,S6,HA;H5,C3,C4,HK;H3,S2,S3,H9"
1571829281,3,0,1,"C10,CA,C2,CQ;DQ,DA,DK,D7;D5,D10,DJ,D4;D3,D9,D8,H9;HA,D6,HK,H8;HQ,D2,HJ,H4;C7,CK,CJ,C5;H6,C8,C9,C4;H5,SQ,C6,H3;SA,H2,C3,S6;SK,SJ,S10,S5;S8,S9,H10,S3;S4,S7,H7,S2"
1571829281,3,0,1,"C2,CJ,CQ,CA;DJ,DK,DA,D10;D9,D7,DQ,D4;D5,D6,D8,SQ;HQ,HA,D3,HK;H6,HJ,D2,H10;CK,C8,C9,C6;C10,C5,C7,H9;C3,S7,C4,H8;SA,S6,S9,SK;SJ,S5,S2,S10;S8,S4,H3,H7;H5,S3,H2,H4"
1571829281,3,6,1,"C2,C10,CA,CJ;DA,D6,DQ,DJ;DK,D2,D8,D10;D9,HQ,D7,D5;CK,C7,CQ,C9;C5,C6,C8,C3;HJ,H7,D3,D4;S10,S7,SJ,S8;S9,S5,S6,S2;C4,H4,HA,SQ;S4,SA,SK,H9;H10,S3,HK,H8;H2,H3,H5,H6"
1571829281,3,19,1,"C2,CA,CQ,CK;D7,DJ,DK,DA;D4,D6,D10,DQ;D2,D5,SQ,D9;H6,H9,HA,D8;H4,H5,HK,D3;CJ,C10,C8,C9;C7,C4,HQ,C5;C6,H2,HJ,H10;C3,SA,S9,H8;SK,SJ,S7,S8;S5,S10,S6,S3;H3,S2,S4,H7"
1571829281,3,3,1,"C9,C2,CK,CA;DA,DQ,DK,D5;D8,DJ,D10,SQ;D7,D9,HK,H9;D6,D4,H5,H7;C4,CJ,C8,CQ;C3,C6,C5,C10;HA,HQ,H4,C7;SK,S6,SA,SJ;S3,H8,S10,S9;HJ,H6,S8,S5;H10,D3,S7,S4;H3,D2,S2,H2"
1571829281,3,0,1,"C2,CJ,CQ,CA;DK,DQ,D5,DA;DJ,D7,D3,D10;D9,D6,D2,D4;D8,HK,SQ,HA;C8,C4,C10,CK;C7,HQ,C9,C6;S10,SA,S9,S8;S3,SK,S5,S6;H7,SJ,HJ,S2;H5,S7,H10,H8;H3,S4,H9,H2;C5,H4,H6,C3"
1571829281,3,23,1,"C8,CA,C10,C2;D9,DJ,HA,DA;D8,D3,HK,DK;D7,H7,HQ,DQ;D4,SA,H10,D10;SQ,CK,H5,D6;HJ,CJ,H4,D5;H9,C9,S10,D2;H8,C6,C7,CQ;H2,C5,C3,C4;SK,S8,S6,S7;SJ,S5,S3,H6;S9,S4,S2,H3"
1571829281,3,0,1,"C7,C2,CA,C3;DA,D6,DK,D10;DQ,D4,D9,HK;DJ,H8,D8,H10;D2,H7,D7,H9;HA,SK,D5,H6;HQ,CQ,D3,H5;C5,CJ,CK,H3;HJ,C8,C10,SJ;H2,C6,C9,S10;S7,S8,S5,S9;S2,S4,SQ,S6;SA,C4,H4,S3"
1571829281,3,0,1,"DK,CA,CQ,C2;D10,D9,DA,DJ;D7,D6,DQ,D8;D5,D3,D4,SQ;D2,HQ,H7,CK;SJ,SK,SA,S9;HA,C10,CJ,C9;HK,C8,C5,C7;HJ,C6,H5,C3;H8,C4,H4,S8;S3,S7,S10,S6;H6,H10,H3,S5;S2,H9,H2,S4"
1571829281,3,2,1,"CJ,CQ,C2,CA;DK,DQ,DA,DJ;D10,D2,D7,D9;D4,HQ,D6,D8;C7,C9,C5,CK;HK,C8,C4,C10;H7,C6,SQ,C3;SK,S10,SA,SJ;D3,HJ,D5,HA;S9,S4,S8,S5;S7,H10,S6,H9;S2,H8,S3,H3;H5,H4,H6,H2"
1571829281,3,21,1,"C2,CA,CK,C9;DA,DJ,DQ,D10;DK,D8,D6,D9;C7,CQ,CJ,C8;H6,D4,SQ,D7;H5,D3,HK,D5;H3,HA,H9,D2;C3,HQ,C10,C6;H2,H10,C4,C5;SA,SK,S10,S3;S9,SJ,S6,HJ;S8,S7,S4,H8;S5,H7,S2,H4"
1571829281,3,0,1,"CK,C2,CA,CJ;DQ,DA,DK,D8;DJ,D9,D10,HQ;D4,D7,D5,HJ;D3,D6,SQ,H9;HK,D2,H8,H5;C10,CQ,C3,C5;C8,C9,H6,SA;C7,C6,H2,SK;S8,SJ,S10,S7;H10,C4,S9,S6;H7,HA,S4,S5;H4,H3,S2,S3"
1571829281,3,13,1,"CJ,C2,CA,CK;DK,DA,DJ,DQ;D9,D10,D4,D8;D7,D5,HK,HQ;D6,D3,HJ,H10;C5,C8,C9,CQ;C4,SQ,C7,C10;SK,S7,SA,SJ;H8,HA,C6,H9;S8,H7,C3,H5;S6,S2,S10,S4;S5,H3,S9,H4;S3,D2,H6,H2"
1571829281,3,6,1,"C2,CA,CK,C10;DK,D4,D7,DA;DQ,HK,D2,DJ;D9,HQ,H9,D10;D6,H10,H7,D8;D3,H8,H6,D5;HA,C9,CQ,C8;H3,C7,CJ,C3;SK,C6,C5,SQ;S10,C4,H5,HJ;S9,SA,S4,SJ;S8,S3,S2,S6;S7,H2,H4,S5"
1571829281,3,1,1,"CK,CA,C2,CJ;D9,DQ,DA,DJ;D6,D7,DK,D10;D3,HQ,D8,D2;SQ,H10,D5,HA;H5,H9,D4,HJ;C10,C9,CQ,C8;C6,C5,C7,H7;SJ,C3,C4,H3;S8,S9,S10,SA;S6,H8,S7,SK;S5,H6,HK,S4;S3,H2,H4,S2"
1571829281,3,0,1,"CQ,C2,CJ,CA;DA,DK,DQ,D9;DJ,D5,D10,D7;D8,HJ,D4,H10;D6,H4,D2,H9;D3,SA,HA,H8;C4,CK,C8,C6;C3,C10,C5,H7;SQ,C9,H6,H3;HK,C7,S10,H2;S8,SK,S9,SJ;HQ,S7,S4,S5;H5,S6,S2,S3"
1571829281,3,21,1,"C6,C2,CA,C10;DQ,DK,DA,D10;D5,DJ,D3,D9;HK,D4,H7,D8;HQ,SQ,H2,D7;H9,HJ,CK,D6;H8,H10,CQ,D2;SK,SA,S9,S7;C5,CJ,C8,HA;C3,C9,C7,H5;S10,SJ,S3,S6;S8,S4,S2,S5;H3,H6,C4,H4"
1571829281,3,26,1,"CJ,DK,C2,CA;D9,DQ,DJ,DA;HQ,D10,D2,D8;H9,D7,H4,SQ;H6,D6,H3,HK;S10,D5,H2,HJ;C10,D4,SA,H10;C9,D3,SK,H7;S7,SJ,S6,S9;S5,S8,S2,S4;C7,S3,C8,H5;C6,HA,C5,CK;C3,H8,C4,CQ"
1571829281,3,0,1,"C2,CJ,CK,CQ;DA,DK,D3,D7;D9,DQ,SQ,D6;D5,DJ,HQ,D2;D4,D10,H9,HK;HJ,D8,H4,H7;CA,C8,C10,C7;SA,S7,S10,SJ;SK,S4,S6,S9;S8,HA,S5,S3;H10,H6,C9,H2;H8,H5,C5,C6;H3,C3,C4,S2"
1571829281,3,1,1,"CK,C2,CQ,CA;DA,DQ,D9,DK;D6,DJ,D7,D10;D2,D5,HA,D8;CJ,C10,C4,C9;C8,C7,HK,C3;C5,C6,HJ,SQ;HQ,D4,H10,H8;H7,D3,H9,H4;S9,S6,SA,SK;S7,S5,SJ,S10;S3,S4,S8,S2;H3,H6,H5,H2"
1571829281,3,0,1,"CK,CA,C2,CJ;DA,DK,D9,DJ;D10,DQ,D8,D5;C9,C10,CQ,C3;D6,HQ,D7,D4;C6,C5,C8,HK;SQ,H8,C7,H10;HA,H4,C4,H9;S7,SA,SK,S8;H6,S10,SJ,S6;H5,S9,S4,S5;H2,S3,S2,H7;D2,H3,HJ,D3"
1571829281,3,2,1,"C8,C2,CQ,CA;DK,DA,DQ,DJ;D9,D7,D10,D6;D8,D5,D2,HA;C4,CK,C10,CJ;SQ,D4,H10,HK;HQ,D3,SJ,HJ;H8,C6,C9,C7;H7,H9,C5,H6;S8,H3,C3,H5;S6,SK,S10,SA;S4,S7,S9,H4;S3,S5,S2,H2"
1571829281,3,19,1,"CA,CJ,C10,C2;DA,DJ,DK,DQ;D3,D2,D8,D10;HK,HJ,D5,D9;H8,H10,D4,D7;H4,H9,SQ,D6;CK,H7,C7,CQ;C9,H5,C5,C4;C8,H3,C3,HA;C6,H2,HQ,H6;S9,S10,SA,SK;S8,S5,SJ,S7;S6,S3,S2,S4"
1571829281,3,4,1,"CK,CQ,C10,C2;D8,DJ,DA,DQ;D7,D9,DK,D10;D6,D4,D2,D3;D5,HQ,HK,HA;C9,CJ,C6,CA;C5,C7,C3,C8;S8,SJ,S9,S10;SQ,C4,H10,H6;S4,S7,SK,SA;H8,S5,S3,S6;H5,HJ,H9,S2;H2,H7,H4,H3"
1571829281,3,14,1,"CK,C9,CQ,C2;D8,D10,DA,DK;D5,D9,DQ,HK;H10,D7,DJ,HQ;H6,D6,D4,H8;C10,C7,C4,CA;C8,SQ,H7,CJ;S10,SJ,SA,S7;H5,HA,D3,H3;C6,HJ,D2,S6;S5,H9,SK,S4;C5,H4,S9,S3;C3,H2,S8,S2"
1571829281,3,16,1,"CJ,C2,C6,CA;DJ,DK,DA,D10;D9,D8,DQ,D7;D3,HA,D4,D6;SQ,H9,D2,D5;C7,CK,HK,CQ;C4,C9,HJ,C10;SK,S9,SA,S6;S10,H8,SJ,S5;S8,H5,S3,S4;S7,C8,S2,H6;HQ,C5,H7,H4;H10,C3,H3,H2"
1571829281,3,9,1,"CA,C5,C10,C2;DA,DJ,D8,D6;DK,D10,D4,SQ;DQ,D9,H10,HJ;CQ,HQ,C8,CK;C6,H6,C7,CJ;HA,H3,C4,C9;HK,D7,H8,C3;SK,S6,S10,SA;S8,S4,S9,SJ;S2,D5,S7,S3;H7,D3,S5,H9;H2,D2,H4,H5"
1571829281,3,5,1,"CA,C2,CK,CQ;DJ,DQ,DA,D9;D6,D10,DK,D4;D5,D8,D3,D2;SQ,D7,HA,HQ;CJ,C8,C10,C9;C4,C7,C6,HJ;S8,S9,SK,SA;S7,S6,HK,SJ;S4,H7,H10,S10;S3,H4,H5,S5;H9,H3,C5,H8;S2,H2,C3,H6"
1571829281,3,4,1,"C7,C10,CA,C2;D9,DK,DQ,DA;D6,DJ,D10,D8;D2,D7,D5,D3;C5,C8,CK,CJ;SQ,HA,D4,HK;HQ,C3,CQ,C6;H10,H4,C9,HJ;H9,H3,C4,H8;SJ,SK,S6,SA;S8,S10,S4,S9;S3,S5,H7,S7;H5,S2,H2,H6"
1571829281,3,3,1,"C8,CJ,C2,CQ;DJ,D7,DA,DK;D8,D6,D9,DQ;HQ,D5,D3,D10;HJ,HA,D2,D4;C5,C10,CA,C3;C4,C9,CK,HK;H9,C6,C7,H10;SJ,S10,S8,S6;S7,S9,S2,S4;S5,SK,SQ,H7;H8,H5,H2,H6;S3,H4,SA,H3"
1571829281,3,4,1,"CA,C10,C2,CQ;DA,D8,D7,DQ;DK,D4,D6,DJ;D9,HQ,D5,D10;CK,C3,C6,C9;CJ,H8,C5,SQ;C8,H6,C4,HA;C7,H5,H4,HK;SK,SA,S9,S10;SJ,S7,S8,S5;S3,S6,S2,S4;HJ,H3,D3,H10;H7,H2,D2,H9"
1571829281,3,3,1,"C8,CA,CK,C2;DJ,DA,DK,D10;D6,D8,DQ,D5;D4,H10,D9,D3;D2,H9,D7,SQ;C6,CJ,C10,CQ;C5,C4,HK,C9;HA,C3,HJ,C7;SA,SJ,SK,S9;S6,S10,S7,S2;S5,S8,H8,H5;S3,S4,H7,H4;HQ,H6,H2,H3"
1571829281,3,4,1,"CK,C7,C2,CJ;D8,DJ,DQ,DA;D2,D10,D7,DK;S4,S8,SJ,S9;CQ,C4,CA,HA;C10,C3,C9,H7;C8,HJ,C6,H4;S3,H8,S10,S7;SQ,D9,C5,H3;SK,D6,S5,SA;HK,D5,HQ,S6;H10,D4,H9,S2;H6,D3,H5,H2"
1571829281,3,10,1,"CJ,CA,C8,C2;HK,DQ,DJ,DA;HQ,D5,D10,DK;H8,D4,D6,D9;H6,D2,D3,D8;H2,HA,H10,D7;C10,HJ,C6,CK;C7,H9,C5,CQ;C4,H3,C3,C9;S10,S8,S9,SJ;S6,S4,S7,S2;S5,SA,H7,H4;S3,SK,H5,SQ"
1571829281,3,5,1,"CK,CA,C2,C8;DA,DK,DJ,DQ;D6,D9,D10,D7;CQ,CJ,C10,C5;C6,C9,C7,HA;HK,D8,SQ,D5;H10,D3,H7,D4;H8,HQ,H6,D2;SA,S8,S10,S5;SK,H9,S9,S4;SJ,H4,S6,S2;S7,H3,H5,HJ;S3,C4,C3,H2"
1571829281,3,0,1,"CQ,C9,C2,CA;DK,DA,D10,D6;DJ,DQ,D7,HK;D9,D3,D4,HJ;D8,SQ,HA,H8;D5,H10,HQ,H4;D2,H9,H7,H3;C10,C7,CK,C8;C6,C5,CJ,SA;S6,SK,S10,S9;S3,SJ,S2,S8;C4,S7,H6,S5;C3,H2,H5,S4"
1571829281,3,0,1,"DA,CQ,C2,C10;HQ,CJ,CA,SQ;DK,H9,DQ,D6;D10,H4,DJ,D4;D8,H2,D9,D2;D7,S9,D5,HA;D3,S8,H6,HK;SJ,S7,S2,SA;S10,S5,CK,SK;HJ,C8,C9,H10;S6,S3,C7,H7;S4,C5,C6,H5;H8,C3,C4,H3"
